,Object Number,Is Highlight,Is Public Domain,Is Timeline Work,Object ID,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL
411903,Ref.113,False,False,False,708208,Drawings and Prints,,Print,"Plate 7: the story of the Pisan saints, here Saint Ranieri taking the habit of a hermit, after the frescoes by Simone Memmi in the Campo Santo, Pisa, from the 'Pitture a fresco del Campo Santo di Pisa' (published 1812)",,,,,,Publisher|Artist|Artist,After,Molini Publishing House|Carlo Lasinio|Simone Martini,"Florence|Italian, Treviso 1759–1838 Pisa|Italian, Siena, active by 1315–died 1344 Avignon",,"Molini|Lasinio, Carlo|Martini, Simone",,1759      |1315      ,1838      |1344      ,||,|http://vocab.getty.edu/page/ulan/500032503|http://vocab.getty.edu/page/ulan/500399029,||https://www.wikidata.org/wiki/Q221043,ca. 1808–12,1803,1813,Etching,Plate: 20 3/16 × 33 1/16 in. (51.3 × 84 cm),,,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/708208,,,"Metropolitan Museum of Art, New York, NY",,
361913,X.144.1,False,False,False,569774,Egyptian Art,,"Shabti, Amen-meru",Shabti of Amenmeru,,"New Kingdom, Ramesside",Dynasty 19–20,,,,,,,,,,,,,,,ca. 1295–1070 B.C.,-1295,-1295,Faience,H. 11.5 cm (4 1/2 in.),Museum Accession,From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/569774,,,"Metropolitan Museum of Art, New York, NY",,
6808,Inst.67.15.116,False,False,False,7281,The American Wing,,Saucer,Saucer,French,,,,,,,,,,,,,,,,,1815–30,1815,1830,Porcelain,H. 1 1/4 in. (3.2 cm); Diam. 6 1/2 in. (16.5 cm),"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/7281,,,"Metropolitan Museum of Art, New York, NY",,
380558,WW.410,False,False,False,649618,Drawings and Prints,,Print,"National Railway Station Restaurant, Vienna X, Josef Pohl (Restaurant Staatsbahnhof, Wien X, Josef Pohl)",,,,,,Artist|Publisher,,Gustav Kalhammer|Wiener Werkstätte,"Austrian, Vienna 1886–1919/20 (?) Vienna",,"Kalhammer, Gustav|Wiener Werkstätte",Austrian,1886      ,1919      ,|,|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 3 9/16 × 5 1/2 in. (9 × 14 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/649618,,,"Metropolitan Museum of Art, New York, NY",Restaurants|Interiors,http://vocab.getty.edu/page/aat/300005182|http://vocab.getty.edu/page/aat/300391239
167662,X.684.1,False,False,False,271681,Photographs,,Photograph,"Salt Crystals on Lava, California",,,,,,Artist,,Lydia Money,American,,"Money, Lydia",American,,,Female,,,1968,1968,1968,Gelatin silver print,26.2 x 33.9 cm. (10  5/16  x 13  3/6  in.),Museum Accession,,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/271681,,,"Metropolitan Museum of Art, New York, NY",,
155187,X.21.93,False,False,True,256657,Greek and Roman Art,,Statuette of a ram,Bronze statuette of a ram,Roman,Imperial,,,,,,,,,,,,,,,,1st–2nd century A.D.,1,199,Bronze,"H. 1 in. (2.57 cm)
Length  2 9/16 in. (3.98 cm)",Museum Accession,,,,,,,,,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256657,,,"Metropolitan Museum of Art, New York, NY",Rams,http://vocab.getty.edu/page/aat/300250287
257611,WW.45,False,False,False,390828,Drawings and Prints,,Print,Butterflies (Schmatterlingen),,,,,,Publisher|Artist,Published by,Wiener Werkstätte|Gustav Kalhammer,"Austrian, Vienna 1886–1919/20 (?) Vienna",,"Wiener Werkstätte|Kalhammer, Gustav",Austrian,1886      ,1919      ,|,http://vocab.getty.edu/page/ulan/500268774|,https://www.wikidata.org/wiki/Q241338|,1907,1907,1907,Color lithograph,"image: 4 13/16 x 3 1/8 in. (12.2 x 8 cm)
sheet: 5 9/16 x 3 9/16 in. (14.1 x 9 cm)","Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/390828,,,"Metropolitan Museum of Art, New York, NY",Butterflies,http://vocab.getty.edu/page/aat/300417320
474036,ND3363.B5 C4 1984a,True,False,False,843280,The Libraries,,,Les très riches heures du duc de Berry,,,,,,Publisher,,Editions fac-similés,,,Editions fac-similés,,,,,,,1984,1984,1984,,206 leaves : color illustrations ; Height: 12 3/16 in. (31 cm),"Bequest of Mrs. Charles Wrightsman, 2019",,Lucerne,,,Switzerland,,,,,,,|,,http://www.metmuseum.org/art/collection/search/843280,,,"Metropolitan Museum of Art, New York, NY",,
416983,2020.64.125,False,False,False,715531,The American Wing,,Vase,Vase,American,,,,,Maker|Decorator,,Wilhelmina Rehn|Rookwood Pottery Company,"American, Cincinnati, Ohio 1880–1967",,"Rehn, Wilhelmina|Rookwood Pottery Company",,1880      ,1967      ,|,|http://vocab.getty.edu/page/ulan/500331050,|,1931,1931,1931,,H. 6 1/4 in.,"Gift of Martin Eidelberg, 2020",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/715531,,,"Metropolitan Museum of Art, New York, NY",,
202206,X.710,False,False,False,333768,Drawings and Prints,,Book ; Ornament and architecture,Facsimile of Gribelin's Book of Ornaments,,,,,,Artist|Publisher,,Simon Gribelin II|Timothy Press,"Paris 1661–1733, active London|Meriden, Connecticut",,"Gribelin Simon, II|Timothy Press",French|American,1661      |1900      ,1733      |2000      ,|,http://vocab.getty.edu/page/ulan/500007036|,|,1941,1941,1941,Collotype facsimile (planographic process),8 1/8 x 10 3/8 x 3/8 in. (20.6 x 26.39 x 0.89cm),Museum Accession,,,,,,,,,,,,Books|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/333768,,,"Metropolitan Museum of Art, New York, NY",,
362826,O.C.380,False,False,True,570708,Egyptian Art,,"Figurine, Horus falcon",Horus falcon figure,,Late Period or Ptolemaic Period,,,,,,,,,,,,,,,,664–30 B.C.,-664,-664,Cupreous metal,H. 8.2 cm (3 1/4 in.); W. 2.5 cm (1 in.); L. 6.3 cm (2 1/2 in.),Gift of Egypt Exploration Fund,From,,,,Egypt,Northern Upper Egypt,Abydos,,,"Egypt Exploration Fund excavations, 1898",,,,http://www.metmuseum.org/art/collection/search/570708,,,"Metropolitan Museum of Art, New York, NY",Falcons|Horus,http://vocab.getty.edu/page/aat/300250051|http://vocab.getty.edu/page/ia/901001076
380981,WW.549,False,False,False,650201,Drawings and Prints,,Print,Flowers and Snail,,,,,,Artist|Publisher,,Maria Pranke|Wiener Werkstätte,"Hungarian, Pándorfalu Parndorf, Hungary 1891–1972 Vienna",,"Pranke, Maria|Wiener Werkstätte",Hungarian,1891      ,1972      ,|,|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 3/8 × 3 9/16 in. (13.7 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/650201,,,"Metropolitan Museum of Art, New York, NY",Snails|Flowers,http://vocab.getty.edu/page/aat/300249702|http://vocab.getty.edu/page/aat/300132399
6162,Inst.67.15.22,False,False,False,6565,The American Wing,,Platter,Platter,French,,,,,,,,,,,,,,,,,1815–30,1815,1830,Porcelain,1 1/2 x 9 7/8 x 6 1/2 in. (3.8 x 25.1 x 16.5 cm),"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6565,,,"Metropolitan Museum of Art, New York, NY",,
352352,INST.1979.2.29,False,False,True,557626,Egyptian Art,,"Facsimile, Pyramid Temple of Senwosret I","Offering Bearer, Pyramid Temple of Senwosret I",,Middle Kingdom,Dynasty 12,reign of Senwosret I,,Artist,,Unknown Copyist,,[member of the MMA Egyptian Expedition],Unknown Copyist,,,,,,,ca. 1961–1917 B.C.,-1961,-1961,Tempera on paper,"facsimile: h. 29.7 cm (11 11/16 in); w. 57.2 cm (22 1/2 in)
scale 1:1
framed: h. 34.3 cm (13 1/2 in); w. 62.2 cm (24 1/2 in)","Rogers Fund, 1909",From,,,,Egypt,Memphite Region,Lisht South,,,,,,,http://www.metmuseum.org/art/collection/search/557626,,,"Metropolitan Museum of Art, New York, NY",,
379888,WW.378,False,False,False,648618,Drawings and Prints,,Print,Caricature: The Suitor (Der Freier),,,,,,Artist|Publisher,,Ludwig Heinrich Jungnickel|Wiener Werkstätte,"Austrian (born Germany), Wunsiedel 1881–1965 Vienna",,"Jungnickel, Ludwig Heinrich|Wiener Werkstätte","Austrian, born Germany",1881      ,1965      ,|,http://vocab.getty.edu/page/ulan/500002313|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (13.9 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/648618,,,"Metropolitan Museum of Art, New York, NY",Satire,http://vocab.getty.edu/page/aat/300055934
380659,WW.464,False,False,False,649783,Drawings and Prints,,Print,Budapest: Margaret Island Villa of Archduke Joseph (Margaretheninsel Erherzog Josef-Villa),,,,,,Artist|Publisher,,Franz Kuhn|Wiener Werkstätte,"Austrian, Mistelbach 1889–1952 Vienna",,"Kuhn, Franz|Wiener Werkstätte",Austrian,1889      ,1952      ,|,|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/649783,,,"Metropolitan Museum of Art, New York, NY",Houses,http://vocab.getty.edu/page/aat/300005433
253163,X.816,False,False,True,386323,Drawings and Prints,,Drawing,"Composition from the Tragedies of Aeschylus, plate 17 (recto); Goddess Statue from the Suppliants, plate 7 (verso)",,,,,,Artist,After,John Flaxman,"British, York 1755–1826 London",,"Flaxman, John",British,1755      ,1826      ,,http://vocab.getty.edu/page/ulan/500115449,,19th century,1800,1899,Graphite,Sheet: 10 3/8 × 15 11/16 in. (26.3 × 39.8 cm),Museum Accession,,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/386323,,,"Metropolitan Museum of Art, New York, NY",Men|Horses|Chariots,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300212699
472411,36.82(13),False,False,False,839479,Drawings and Prints,,Print,Landscape,,,,,,Artist,,Nicolas Cochin,"French, Troyes 1610–1686 Paris",,"Cochin, Nicolas",,1610      ,1686      ,,http://vocab.getty.edu/page/ulan/500015904,https://www.wikidata.org/wiki/Q7029580,17th century,1600,1699,Engraving,Sheet: 4 3/4 × 6 5/16 in. (12 × 16 cm),"Gift of Archer M. Huntington, 1936",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/839479,,,"Metropolitan Museum of Art, New York, NY",,
317405,X.209.25,False,False,True,469785,Medieval Art,,Buckle tongue,Belt Buckle Tongue,Frankish,,,,,,,,,,,,,,,,,4th–7th century,300,699,"Iron, silver inlay","Overall (attached together with x.209.21, .25): 4 15/16 x 1 3/4 x 11/16 in. (12.5 x 4.5 x 1.7 cm)
Overall (tongue only): 2 1/4 x 1 1/8 x 7/16 in. (5.7 x 2.8 x 1.1 cm)",Museum Accession,,,,,,,,,,,,Metalwork-Iron,,http://www.metmuseum.org/art/collection/search/469785,,,"Metropolitan Museum of Art, New York, NY",,
472863,61.538.25,False,False,False,840249,Drawings and Prints,,Print,Le petit malheureux,,,,,,Artist|Artist|Artist,,Nicolas-Toussaint Charlet|Gihaut Frères|François de Villain,"French, Paris 1792–1845 Paris|Paris|French, active 1819–40",,"Charlet, Nicolas-Toussaint|Gihaut Frères|Villain, François de",,1792      |1800      |1819      ,1845      |1900      |1840      ,||,http://vocab.getty.edu/page/ulan/500019127||,||,19th century,1800,1845,Lithograph,Sheet: 10 1/4 × 13 9/16 in. (26 × 34.5 cm),"Gift of Louise Seaman Bechtel, 1961",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/840249,,,"Metropolitan Museum of Art, New York, NY",,
6154,Inst.67.15.14,False,False,False,6557,The American Wing,,Platter,Platter,French,,,,,,,,,,,,,,,,,1815–30,1815,1830,Porcelain,2 1/4 x 16 1/2 x 11 1/8 in. (5.7 x 41.9 x 28.3 cm),"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/6557,,,"Metropolitan Museum of Art, New York, NY",,
2205,"Inst.67.15.5a, b",False,False,True,2387,The American Wing,,Dish,Covered Dish,French,,,,,,,,,,,,,,,,,1815–30,1815,1830,Porcelain,6 5/8 x 9 1/2 x 9 1/2 in. (16.8 x 24.1 x 24.1 cm),"Gift of Mrs. Alan W. Carrick, 1967",Made in,Paris,,,France,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/2387,,,"Metropolitan Museum of Art, New York, NY",,
118276,X.190.10,False,False,False,208782,European Sculpture and Decorative Arts,,Watch cock,Watch cock,British or French,,,,,,,,,,,,,,,,,17th–18th century,1600,1799,Gilded brass,,Museum Accession,,,,,,,,,,,,Horology,,http://www.metmuseum.org/art/collection/search/208782,,,"Metropolitan Museum of Art, New York, NY",,
460332,Ref.1952.2516,False,False,False,811800,Drawings and Prints,,Book,"The Art of Measuring, For All Kinds of Tailor-Made Garments, With Scales of Measures and Relative Proportions",,,,,,Editor|Author|Publisher,,Archibald Allon Whife|Albert Stanford Bridgland|The Tailor and Cutter Limited,"British, active 20th century|British, active 20th century",,"Whife, Archibald Allon|Bridgland, Albert Stanford|Tailor and Cutter Limited",,1900      |1880      |1900      ,1950      |1960      |1950      ,||,||,||,1947,1947,1947,Illustrations: commercial process,9 3/16 × 6 in. (23.3 × 15.2 cm),"Gift of Olivia H. Paine, 1952",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/811800,,,"Metropolitan Museum of Art, New York, NY",,
49660,X.615,False,False,False,57580,Asian Art,,Pick,,Japan,,,,,,,,,,,,,,,,,19th century,1800,1899,"Lacquered wood, metal",L. 7 1/4 in. (18.4 cm); Wood handle:  W. 6 1/16 in. (15.4 cm),Museum Accession,,,,,,,,,,,,Lacquer,,http://www.metmuseum.org/art/collection/search/57580,,,"Metropolitan Museum of Art, New York, NY",,
379831,WW.353,False,False,False,648558,Drawings and Prints,,Print,Fashion (Mode),,,,,,Artist|Publisher,,Mela Koehler|Wiener Werkstätte,"Austrian, Vienna 1885–1960 Stockholm",,"Koehler, Mela|Wiener Werkstätte",Austrian,1885      ,1960      ,Female|,http://vocab.getty.edu/page/ulan/500109558|http://vocab.getty.edu/page/ulan/500268774,|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 9/16 in. (14 × 9 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/648558,,,"Metropolitan Museum of Art, New York, NY",Women|Fashion,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300055811
137375,X.496,False,False,True,230866,European Sculpture and Decorative Arts,,Piece,Piece,French,,,,,,,,,,,,,,,,,18th century,1700,1799,Cotton,32 x 42 1/2 inches (81.3 x 108.0 cm),Museum Accession,,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/230866,,,"Metropolitan Museum of Art, New York, NY",,
472901,63.625.118,False,False,False,840327,Drawings and Prints,,Print,Gaspard l'avisé partant pour l'armeé,,,,,,Artist|Artist,,Nicolas-Toussaint Charlet|F. Delpech,"French, Paris 1792–1845 Paris|Paris",,"Charlet, Nicolas-Toussaint|Delpech, F.",,1792      |1818      ,1845      |1825      ,|,http://vocab.getty.edu/page/ulan/500019127|,|,1818,1818,1818,Lithograph,Sheet: 13 1/16 × 9 3/8 in. (33.2 × 23.8 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/840327,,,"Metropolitan Museum of Art, New York, NY",,
465704,Z995 .M48 1873 item 1895c,True,False,True,821879,The Libraries,,,Library of the Metropolitan Museum of Art bookplate,,,,,,Engraver,,Edwin Davis French,,,"French, Edwin Davis",,1851      ,1906      ,,,,1895,1895,1895,,"Height: 4 3/4 in. (12 cm)
Width: 4 5/16 in. (11 cm)",,,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/821879,,,"Metropolitan Museum of Art, New York, NY",,
364285,X.613.33,False,False,False,573901,Egyptian Art,,Inlay,Inlays in different shapes,,Old Kingdom,Dynasty 3,reign of Djoser,,,,,,,,,,,,,,ca. 2649–2630 B.C.,-2649,-2649,Blue green faience,,Museum Accession,From,,,,Egypt,Memphite Region,Saqqara,Djoser Pyramid,,,,,,http://www.metmuseum.org/art/collection/search/573901,,,"Metropolitan Museum of Art, New York, NY",,
118279,X.190.13,False,False,False,208785,European Sculpture and Decorative Arts,,Watch cock,Watch cock,British or French,,,,,,,,,,,,,,,,,17th–18th century,1600,1799,Gilded brass,,Museum Accession,,,,,,,,,,,,Horology,,http://www.metmuseum.org/art/collection/search/208785,,,"Metropolitan Museum of Art, New York, NY",,
55328,CP364,False,False,False,63794,Asian Art,,Print,,China,,,,,,,,,,,,,,,,,20th century,1900,1999,Polychrome woodblock print; ink and color on paper,Image: various sizes; largest size: 9 1/8 × 12 1/8 in. (23.2 × 30.8 cm),Museum Accession,,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/63794,,,"Metropolitan Museum of Art, New York, NY",,
320993,X.605.6,False,False,True,478755,Medieval Art,,Statuette,Head of Lion,Coptic,,,,,,,,,,,,,,,,,4th–7th century,300,699,Wood,Overall: 3 1/2 x 3 5/16 x 3 15/16 in. (8.9 x 8.4 x 10 cm),Museum Accession,Made in,,,Kharga Oasis,Byzantine Egypt,,,,,,,Woodwork-Miscellany,,http://www.metmuseum.org/art/collection/search/478755,,,"Metropolitan Museum of Art, New York, NY",Lions,http://vocab.getty.edu/page/aat/300310388
362339,X.144.25,False,False,False,570202,Egyptian Art,,"Amulet, phallus (?)","Amulet, phallus (?)",,Ptolemaic Period ?,,,,,,,,,,,,,,,,343–30 B.C.,-343,-30,White glass,l. 2 cm (13/16 in.),Museum Accession,From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/570202,,,"Metropolitan Museum of Art, New York, NY",,
465484,ND210 .B6 1886 Folio,True,False,False,821398,The Libraries,,,Book of American figure painters,,,,,,Publisher|Author,,J. B. Lippincott Company|Mariana Griswold Van Rensselaer,"Philadelphia|American, New York 1851–1934 New York",,"Lippincott, J. B., Company|Van Rensselaer, Mariana Griswold",,1800      |1851      ,1950      |1934      ,|Female,|http://vocab.getty.edu/page/ulan/500258097,|,1886,1886,1886,,"[158] plates, 36 pages ; Height: 20 1/2 in. (52 cm)",,,Philadelphia,,Pennsylvania,,,,,,,,,,http://www.metmuseum.org/art/collection/search/821398,,,"Metropolitan Museum of Art, New York, NY",,
348011,X.351.4,False,False,False,552940,Egyptian Art,,"Amulet, Wedjat eye",Wedjat eye amulet,,Late Period,Dynasty 26–30,,,,,,,,,,,,,,,664–332 B.C.,-664,-343,Faience,,Museum Accession,From,,,,Egypt,,,,,,,,,http://www.metmuseum.org/art/collection/search/552940,,,"Metropolitan Museum of Art, New York, NY",,
9131,Inst.65.1.6,False,False,False,9853,The American Wing,,Window guard,Window Guard,American,,,,,Maker|Maker,,H. Van Buren Magonigle|Samuel Yellin,"1867–1935|American, born Russia, 1884–1940",,"Magonigle, H. Van Buren|Yellin, Samuel","American, born Russia",1867      |1884      ,1935      |1940      ,|,http://vocab.getty.edu/page/ulan/500033029|http://vocab.getty.edu/page/ulan/500006910,|,1915,1915,1915,Iron,135 x 63 x 8 in. (342.9 x 160 x 20.3 cm),"Gift of Manuel Pollack and Morris Baris, 1965",Made in,New York,,,United States,,,,,,,Architecture,,http://www.metmuseum.org/art/collection/search/9853,,,"Metropolitan Museum of Art, New York, NY",,
