class,class_name,title,description
4,Sci/Tech,Battling Robots in Japan's Pop-Culture Tech,"The ring sits in the spotlight of a tense, packed auditorium and the jittery fighters await the bell at their red and blue corners. Like any fight, there's always the danger of a punishing uppercut or left hook. But these boxers have even more worries  like battery failure and software bugs."
4,Sci/Tech,Getting Around Search Engine Optimization Roadblocks,"Getting Around Search Engine Optimization Roadblocks\\Today, I will cover the most difficult technologies and techniques to work with. While each of these technologies, techniques and designs have a useful purpose for web-designers, webmasters and general office staff tasked with keeping the site up to date, they each also present problems ..."
4,Sci/Tech,Apple Ships Motion,"Apple has begun shipping Motion, which delivers high-performance, real-time motion graphics design and integration with Final Cut Pro HD and DVD Studio Pro 3, at a breakthrough price of \$299. Aug 10"
2,Sports,NL Wrap: Jones Homers Twice as Braves Down Cards, NEW YORK (Reuters) - Chipper Jones cracked two homers and  Julio Franco's two-run double in the seventh inning drove in  the winning runs as the streaking Atlanta Braves downed the St.  Louis Cardinals 9-7 in the National League Saturday.
2,Sports,"Budapest, Free Practice 3 and 4: A tight battle in store","The teams have just finished their final preparations for the race and qualifying, in much lower temperatures than yesterday."
1,World,Kerry Campaign Helping With Fla. Recovery (AP),"AP - Democratic presidential candidate John Kerry does not plan to visit Florida in the aftermath of Hurricane Charley because he's concerned his campaign entourage could distract from recovery efforts, he said Saturday."
1,World,India carries out rare execution,A man convicted of raping and killing a schoolgirl is hanged in India's first execution in nine years.
1,World,High Stakes Showdown in Najaf,The fallout from Shiites fighting U.S. Marines in a holy city could weaken Iraq's new government
2,Sports,Arsenal Beats Everton to Extend Streak (AP),"AP - Arsenal opened its defense of its English title with a 4-1 win at Everton on Sunday, making it 41 straight games without a loss in the Premier League."
1,World,Iraq troops move angers S Koreans,Clashes with riot police erupt as thousands protest in Seoul against plans to send troops to help US-led forces in Iraq.
1,World,Frail Pope Ends Tiring Lourdes Pilgrimage," LOURDES, France (Reuters) - Pope John Paul, a sick man  among the sick, wound up a emotional visit to this miracle  shrine Sunday and struggled with iron determination to finish a  sermon in order to encourage others suffering around him."
3,Business,Funds: Are Bond Funds Hazardous?, (Clint Willis is a freelance writer who covers mutual funds  for Reuters. Any opinions in the column are solely those of Mr.  Willis.)
2,Sports,Marlins Beat Brewers 5-3 in 10 Innings (AP),"AP - Luis Castillo tied the score with a ninth-inning single, and pinch-hitter Damion Easley hit a two-run double in the 10th inning that led the Florida Marlins over the Milwaukee Brewers 5-3 Sunday."
1,World,China's Panchen Lama visits Tibet,The boy named by the Chinese authorities as the 11th Panchen Lama visits a temple in Tibet.
1,World,"Puerto Rico Stuns Dream Team, 92-73","ATHENS, Greece - In an upset as historic as it was inevitable, Tim Duncan, Allen Iverson and the rest of the U.S. basketball team lost 92-73 to Puerto Rico on Sunday, only the third Olympic loss ever for America and its first since adding pros..."
1,World,Afghans Hail Chance for a Choice,"BAZARAK, Afghanistan&lt;br&gt;Like virtually every adult in this Panjshir Valley village, Rahmal Beg registered to vote weeks ago. Indeed, popular enthusiasm is so high for the Oct. 9 presidential election -- the first in Afghan history -- that thousands of people in the valley have reportedly..."
4,Sci/Tech,Don't Fear Internet Anonymity Tools (Ziff Davis),Ziff Davis - There are lots of good reasons for 'net anonymity.
3,Business,Internet publishing attracting academics,BALTIMORE -- Manuel Llinas knew his career was at stake. The young scientist had just finished work on an eye-catching paper on the genome of a parasite that causes malaria. Now he and his lab director faced a critical decision: where to submit the article for publication.
4,Sci/Tech,UN creates game to tackle hunger,A forthcoming video game aims to educate children about the global fight against hunger.
1,World,Bush Plans to Withdraw Troops From Abroad (AP),"AP - President Bush's plan to call tens of thousands of U.S. troops home from Europe and Asia could gain him election-year applause from military families, but won't ease the strain on soldiers still battling violent factions in Iraq and Afghanistan."
3,Business,Lowe's Second-Quarter Profit Rises (Reuters),"Reuters - Lowe's Cos. (LOW.N), the second-largest\home improvement retailer behind Home Depot Inc. (HD.N), on\Monday said quarterly profit rose, but trailed estimates."
3,Business,Cost Cuts Boost Kmart Quarterly Profit," CHICAGO (Reuters) - Kmart Holding Corp. &lt;KMRT.O&gt; on Monday  reported its third consecutive quarterly profit as cost cuts  made up for slumping sales, and its cash pile grew to about  \$2.6 billion."
1,World,Ex-Chess Champion Fischer to Marry Japanese Woman," TOKYO (Reuters) - In a bold gambit worthy of the chess  champion he once was, Bobby Fischer plans to wed a four-time  Japanese great in the hope of avoiding deportation home to the  United States, where he is wanted for breaking sanctions."
4,Sci/Tech,Oracle readies CRM updates,"Oracle Corp. plans to release the latest version of its CRM (customer relationship management) applications within the next two months, as part of an ongoing update of its E-Business Suite."
1,World,Singh Wins PGA Championship in Playoff,"HAVEN, Wis. - Vijay Singh shot a 4-over 76 to eke into a three-way playoff Sunday, then made his only birdie of the day on the first of three extra holes to beat Justin Leonard and Chris DiMarco in the PGA Championship at Whistling Straits..."
2,Sports,"Haas, Cink Join Ryder Cup Team","Jay Haas became the second-oldest player to be on the Ryder Cup team, joining Stewart Cink as the two captain's picks Monday for a U.S. team that will try to regain the cup from Europe next month."
3,Business,The Internet Is Calling,Web phone service is exploding. And maverick Jeffrey Citron lit the industry's fuse
4,Sci/Tech,Windows update causes headaches,Games and security programs are on a long list of software that does not work well with the Windows SP2 update.
3,Business,"Stocks Up, Oil Price Ease Gives Relief"," NEW YORK (Reuters) - U.S. stocks climbed on Monday, getting  a boost from lower oil prices after Venezuela's president  declared he had survived a recall referendum, easing fears  about the country's oil exports."
1,World,India makes elephants appeal,Indian asks Bangladesh to spare the lives of around 100 elephants which have strayed across the border.
4,Sci/Tech,European Union Extends Microsoft-Time Warner Review,"BRUSSELS, Belgium (AP) -- European antitrust regulators said Monday they have extended their review of a deal between Microsoft Corp. (MSFT) and Time Warner Inc..."
3,Business,Taco Bell's Blue Dew,Pepsi pushes a blue version of Mountain Dew only at Taco Bell. Is this a winning strategy?
4,Sci/Tech,Microsoft details XP SP2 conflicts,Microsoft Corp. has published a list of nearly 50 applications and games that may not work correctly after installing Service Pack 2 (SP2) for Windows XP.
3,Business,Treasuries Fall as Oil Retreats (Reuters),Reuters - U.S. Treasury debt prices fell on\Monday as investors focused on a pullback in oil prices from\record highs and largely shrugged off dismal results from a\regional manufacturing survey.
1,World,Carter Endorses Chavez Win in Venezuela,"CARACAS, Venezuela - President Hugo Chavez survived a referendum to oust him, according to results Monday, and former U.S. President Jimmy Carter and other election observers urged the opposition to accept the vote, deflating claims of fraud..."
4,Sci/Tech,Microsoft details conflicts in new XP update,"Microsoft has published a list of nearly 50 applications -- including developer and backup tools, antivirus software and an FTP client -- that may not work correctly after installing Service Pack 2 for Windows XP."
2,Sports,U.S. Ryder Cup Team Roster Set,"Going with experience, Hal Sutton named Jay Haas and Stewart Cink as captain's selections for this year's United States Ryder Cup team."
2,Sports,Beach Volleyball: Australia in with a Shout," ATHENS (Reuters) - To prepare for the Olympics, Kerri  Pottharst practiced serving with her team mate screaming in her  ear."
4,Sci/Tech,Russian Supply Craft Docks with Space Station (Reuters),"Reuters - A Russian supply ship docked with the\International Space Station on Saturday, delivering food and\fuel to the two astronauts living there, mission control said."
3,Business,Brazil Starts to Crack Down on Counterfeit Goods,Brazil stands to lose billions of dollars in trade benefits from the United States if it does not prove by the end of September that it is making progress in combating copyright piracy.
4,Sci/Tech,BioVeris Files Delayed Annual Report,"BioVeris Corp. filed its delayed annual report with the Securities and Exchange Commission Monday, only days before a scheduled hearing by the Nasdaq Stock Market on whether to delist the Gaithersburg biotechnology company for failing to report earnings. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
3,Business,A New Campaign for Viagra,"Viagra, which has long taken a staid marketing approach, will join its fast-growing competitors in taking a sly, devil-may-care tack."
1,World,Clashes persist in South Ossetia,Heavy fighting is reported in Georgia's breakaway South Ossetia region after the deaths of two soldiers.
1,World,New intelligence reform bill may pit US Congress against White House (AFP),"AFP - The powerful chairman of the US Senate intelligence committee promised to introduce this week a new intelligence reorganization bill likely to set Congress on a collision course with the White House, which favors an intelligence ""czar"" with vaguely defined powers."
3,Business,Krispy Kreme operating chief quits,"WINSTON-SALEM, N.C. -- Krispy Kreme Doughnuts Inc.'s John Tate quit as chief operating officer amid a government probe of the chain's accounting and earnings forecasts."
2,Sports,Phelps's chase of Spitz mark? It's history,This was the event Michael Phelps didn't really need to compete in if his goal was to win eight golds. He probably would have had a better chance somewhere else.
2,Sports,"Olympics: Greeks Dive for Joy, More Gold for Thorpe", ATHENS (Reuters) - Greece was plunged in national  self-satisfaction on Tuesday after its synchronized divers won  the host nation's first gold medal of the Athens Olympics.
4,Sci/Tech,UK gamers rush to snap up Doom 3,The eagerly anticipated Doom 3 has stormed to the top of the UK games charts.
1,World,Hostile Takeover,The battle moves to the political arena as Taipei and Beijing wrap up their wargames
1,World,Developing states to seek voice in fighting terror (Reuters),Reuters - Developing nations launched their annual diplomatic summit on Tuesday with a plea to the United States and other powerful countries to consult them on tackling terror and resolving the Middle East conflict
1,World,U.S. Brokers Cease-fire in Western Afghanistan," KABUL (Reuters) - The United States has brokered a  cease-fire between a renegade Afghan militia leader and the  embattled governor of the western province of Herat,  Washington's envoy to Kabul said Tuesday.  ""Our expectation is that the agreement that has been made will  be honored,"" said ambassador Zalmay Khalilzad, adding that the  cease-fire was due to take effect at 4 p.m."
4,Sci/Tech,Google set to list as soon as Wednesday (AFP),AFP - Google Inc.'s hotly anticipated share listing appears set to launch as early as Wednesday.
1,World,Phaithful Phlock to the Phinish as the 21-Year Jam Ends in Tears,"Phish made its farewell in Vermont this past weekend in true Phish style: playing its own musical marathon, swarmed by adoring fans and isolated from the rest of the world."
4,Sci/Tech,RealNetworks Tries to Core Apple,"RealNetworks launched round two in its heavyweight digital music match against Apple Computer, slashing the cost of its music downloads to take business away from Apple's iTunes download service. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
3,Business,"Estee Lauder Profit Up, Shares Down (Reuters)","Reuters - Cosmetics manufacturer Estee Lauder\Cos. Inc. (EL.N) on Tuesday said quarterly net income jumped 51\percent, bolstered by new product sales and an improving U.S.\retail market."
4,Sci/Tech,Microsoft delays SP2 auto update,Microsoft is delaying distribution of Windows XP Service Pack 2 via its Automatic Update service by at least nine days in order to give corporate customers more time to temporarily block automatic downloading of SP2 by their employees. 
2,Sports,Pratt advances to third round,Australia #39;s Nicole Pratt has advanced to the third round of the tennis event at the Athens Olympics with a three-set win over Italian Tathiana Garbin. 
4,Sci/Tech,New bird survives hungry Filipinos,"Manila - A new species of flightless bird has been discovered living on a tiny island in the northern Philippines where the inhabitants formerly ate them, scientists and birdwatchers said on Tuesday. "
4,Sci/Tech,Astronomers give Milky Way an age,"Astronomers have estimated the age of our galaxy at about 13,600 million years old."
3,Business,Lojack makes Canada move with Boomerang buy,"The Westwood company is spending \$48 million to acquire Boomerang Tracking Inc., a Montreal company that operates a stolen car recovery system in Canada. "
2,Sports,Bell set for Test debut,Ian Bell is almost certain to make his England Test debut on Thursday in the final match against West Indies. 
2,Sports,Boston Red Sox Team Report - August 17,"(Sports Network) - Pedro Martinez will try to win his fourth consecutive decision, as he takes the hill for the Boston Red Sox in the middle test of a three-game series against the visiting Toronto Blue Jays. "
4,Sci/Tech,U.S. Broadband Growth Slows - Analyst (Reuters),"Reuters - U.S. telephone and cable companies\saw the growth of high-speed Internet services slow in the\second quarter to the lowest rate in a year, an industry\research firm said on Tuesday."
4,Sci/Tech,Indian researcher designs revolutionary low cost PC for the poor,"Aug 17 - Professor Raj Reddy, an Indian researcher in artificial intelligence and a professor at Carnegie Mellon University. Has designed a wirelessly networked personal computer worth just 250 US dollars intended for the four billion people around the ..."
2,Sports,Wood's Suspension Upheld (Reuters),Reuters - Major League Baseball\Monday announced a decision on the appeal filed by Chicago Cubs\pitcher Kerry Wood regarding a suspension stemming from an\incident earlier this season.
1,World,Michael Phelps Wins Second Gold Medal,"ATHENS, Greece - Michael Phelps, denied in his bid to win seven gold medals, picked up his second victory of the Athens Games by winning the 200-meter butterfly Tuesday night in Olympic-record time. Phelps fell just short of his own world record, holding off Takashi Yamamoto to win in 1 minute, 54.01 seconds..."
3,Business,Google set to start trading,SAN FRANCISCO - Google looks set to start trading on the Nasdaq today after the web #39;s No 1 search engine asked regulators for final approval to price its closely watched initial public offering. 
2,Sports,World 100m Champion Torri Edwards Banned from Games, ATHENS (Reuters) - World 100 meters champion Torri Edwards  will miss the Athens Olympics after her appeal against a  two-year drugs ban was dismissed Tuesday.
2,Sports,Were the judges by any chance French?,Kosuke Kitajima #39;s technique may get a sharper eye from officials today in the 200-meter breaststroke race. 
1,World,Burundi authorizes UN camp for Congolese refugees,"GENEVA, Aug. 17 (Xinhuanet) -- The government of Burundi has authorized the United Nations to set up a camp for newly-arrived Congolese refugees following the horrific attack on the Gatumba refugee camp in Burundi last Friday, UN officials said here ..."
3,Business,Stocks up on positive consumer price report,"NEW YORK (AP) - A drop in consumer prices and a decline in crude oil futures Tuesday allowed investors to put aside worries about inflation, at least for the short term, and they sent stocks modestly higher. "
2,Sports,Coyotes re-sign RW Johnson to three-year deal,"----------------------------------------------- GLENDALE, Arizona (Ticker) - Mike Johnson missed most of last season after undergoing shoulder surgery, but that didn #39;t stop the Phoenix Coyotes from giving him the veteran right wing a three-year contract ..."
4,Sci/Tech,"Africa's Penguins Still Reeling From ""Guano Craze""","Faced with the lingering effects of a 19th-century trade in seabird excrement and more modern pressures, jackass penguins are struggling to recover, conservationists say."
3,Business,Applied Materials Returns to Profit," SAN FRANCISCO (Reuters) - Applied Materials Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMAT.O target=/stocks/quickinfo/fullquote""&gt;AMAT.O&lt;/A&gt;,  the largest maker of chip-making tools, on Tuesday said healthy  spending on new semiconductor factories more than doubled  revenue and returned it to a quarterly profit."
2,Sports,Phelps Pushes Gold-Medal Haul to Three,"ATHENS, Greece - With the quest to surpass Mark Spitz out of the way, Michael Phelps could savor one of the greatest races in swimming history. Phelps claimed his second and third gold medals of the Athens Games on Tuesday, winning the ..."
4,Sci/Tech,Microsoft readies Host Integration Server 2004,"The newest edition of Host Integration Server, which replaces the 2000 version, is designed to make it easier for users to link Windows systems with IBM mainframes and midrange iSeries servers."
4,Sci/Tech,News: TRMM Sees Rain from Hurricanes Fall Around the World,"Since rain and freshwater flooding are the number one causes of death from hurricanes in the United States over the last 30 years, better understanding of these storms is vital for insuring public safety."
1,World,Official backs Scrafton #39;s version,A former federal official has backed Mike Scrafton #39;s story that he told John Howard three days before the 2001 election that the children overboard story was wrong. 
4,Sci/Tech,Analysts concerned about longer-than-expected G5 delays,"AUGUST 17, 2004 (MACCENTRAL) - Analysts from Prudential Equity Group and UBS have warned over the past two days that longer than expected G5 delays from IBM Corp. is the near-term  quot;key risk quot; for Apple Computer Inc. "
2,Sports,Hoops Team Rebounds,The Americans survive a poor shooting night to beat Greece 77-71 at the men's Olympic basketball tournament on Tuesday.
3,Business,Applied Materials Reports Profit in 3Q,"Applied Materials Inc., the world #39;s largest supplier of machines that make computer chips, Tuesday said surging sales in its latest quarter surpassed its own and Wall Street estimates. "
4,Sci/Tech,Carl Reiner: Comedy as a Life #39;s Work,"Description: Actor Carl Reiner found his life #39;s calling in the third grade, making his classmates laugh by walking on his hands. The actor, comedian and director joins NPR #39;s Neal Conan and takes calls. "
2,Sports,White Sox manager sent to hospital,"White Sox manager Ozzie Guillen, set to start a two-game suspension Tuesday night, went to a hospital before the game against Detroit because of pain in his back and side. "
1,World,Germany #39;s Chancellor Schroder and his wife adopt Russian girl,"Germany #39;s Chancellor Gerhard Schroder and his wife Doris have adopted a three-year-old Russian girl who has been living with them for over a fortnight, Germany #39;s mass circulation Bild newspaper revealed yesterday. "
4,Sci/Tech,Benefits Seen in Earth Observation Data (AP),"AP - Scientists are planning to take the pulse of the planet  #151; and more  #151; in an effort to improve weather forecasts, predict energy needs months in advance, anticipate disease outbreaks and even tell fishermen where the catch will be abundant."
4,Sci/Tech,"Game execs predict mergers, price cuts","LOS ANGELES - Video game executives believe consolidation will be crucial to their future, but they also want further cuts to hardware prices to boost short-term growth, according to a report set for release this week. "
2,Sports,"Athletes Return to Olympia, Home of Games, After 1,611 Years","Aug. 18 (Bloomberg) -- Olympia, home of the Olympics for more than 12 centuries, will host competition for the first time in 1,611 years when the shot put competition of the Athens Games is contested at Greece #39;s most sacred sporting site. "
1,World,Seven dead in Baghdad blast,Interior Ministry officials had earlier said the blast on Tuesday was caused by a car bomb. At least five cars were ...
2,Sports,Caps' Witt Wins Arbitration,Washington Capitals defenseman Brendan Witt was awarded \$2.2 million for the 2004-05 season in his arbitration hearing on Tuesday.
2,Sports,"Rockies Pitcher Frets Health, Not Baseball (AP)",AP - The blood clots that went from Aaron Cook's shoulder to his lungs might threaten his career.
3,Business,Warehouse offers cut-price coffins,"A US discount warehouse chain known for piling  #39;em high, and selling  #39;em cheap, is offering cut-price coffins along with the buckets of sauce and tubs of ice-cream under a new pilot program. "
3,Business,"After Circulation Scandal, a Move to Build Trust",Belo Corporation has set aside \$23 million to compensate advertisers for exaggerated circulation figures at The Dallas Morning News.
1,World,Maoist Rebels Block Land Routes to Nepali Capital," KATHMANDU (Reuters) - Maoist rebels, fighting to topple  Nepal's constitutional monarchy, cut off all land routes to the  Himalayan kingdom's capital on Wednesday, disrupting food and  supplies to the city of 1.5 million people."
1,World,Eight terror suspects charged in UK,"British police have charged eight terrorist suspects with conspiring to commit murder and use radioactive materials, toxic gases, chemicals or explosives to cause  quot;fear or injury quot; in a case involving an alleged top al-Qaeda operative at the centre of a US ..."
2,Sports,Giants Edge Expos,"J.T. Snow singled in the winning run in the ninth to lead the Giants to their sixth straight victory, 5-4, over the Expos on Tuesday night."
1,World,Iraqis aim to decide new assembly,The national conference on Iraq #39;s future is going into an unscheduled fourth day as delegates hammer out the shape of the first post-war parliament. 
3,Business,US inflation falls for first time in 2004,"US inflation fell by 0.1 per cent in July -- the first decline since late last year -- on a drop in gasoline prices, the US Department of Labour said yesterday in a report that suggests underlying price pressures in the world #39;s biggest ..."
1,World,"Oil prices edge lower in Asian trading, still near record highs (AFP)","AFP - Oil prices were slightly lower in Asian trading on easing concerns over supply disruptions but were still hovering near record highs, dealers said."
3,Business,Swipe hype: Debit the small stuff,"Dana Conneally walked into Starbucks at Faneuil Hall one recent morning in desperate need of a coffee fix. The employee at a local law firm handed his debit card to the Starbucks worker, who swiped it, then handed it back -- no signature or personal identification number required."
1,World,China tells US not to send wrong signal to Uighur 'terrorists' (AFP),"AFP - China has appealed to the United States not to send the ""wrong signal"" after Washington said a handful of detained Uighurs being held at the US military base in Guantanamo Bay would not be returned to China."
2,Sports,Last laugh,"Oh, those wacky Red Sox. Nothing like a little levity to take the edge off a playoff race. That #39;s why Terry Francona #39;s merry pranksters last night let Manny Ramirez lead the charge out of the dugout in the ..."
2,Sports,2 steps back in Texas,"ARLINGTON, Texas -- All of a sudden, the Indians #39; prolific offense has been reduced to shambles. And, remember phenom left-hander Cliff Lee, who won 10 games before the All-Star break? He #39;s seemingly forgotten how to pitch. "
2,Sports,Selig to get 3-year extension,Major League Baseball #39;s owners will convene in Philadelphia today for two days of meetings that will culminate with a coronation of sorts. 
1,World,Police defuse bomb after Blair #39;s visit,"Police have defused a bomb near the Sardinian holiday home of Silvio Berlusconi, the Italian prime minister, just hours after a visit by Tony Blair. "
1,World,Two bombs discovered in Sardinia after Berlusconi-Blair meet (AFP),"AFP - Police discovered two bombs near the Sardinian villa of Italian Prime Minister Silvio Berlusconi, just hours after he met his British counterpart Tony Blair on the island."
1,World,Burundi Urges Sanctions on Rebels Over Massacre,"DAR ES SALAAM (Reuters) - Burundi will urge regional leaders at a summit on Wednesday to impose sanctions against the rebel Hutu Forces for National Liberation (FNL), blamed for the slaughter of more than 160 Congolese Tutsi refugees in ..."
1,World,Pakistan issues \$1m al-Qaeda list,Pakistan offers rewards totalling more than \$1m for the capture of six top al-Qaeda suspects.
3,Business,Stocks Are Seen Off a Touch at Open,US stocks are seen off a touch at the open Wednesday as the price of oil continues to plague investor sentiment. 
3,Business,Nortel shares down on news of criminal probe,News of an RCMP criminal investigation of Nortel Networks and its financial accounting practices sent the company #39;s shares down slightly on Tuesday. 
3,Business,"Stocks to Watch on Wednesday, August 18"," APPLIED MATERIALS INC. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMAT.O target=/stocks/quickinfo/fullquote""&gt;AMAT.O&lt;/A&gt;:"
4,Sci/Tech,Japanese bank taps RFID for document security,"NEC Corp. has signed a contract with a Japanese bank for an RFID (Radio Frequency Identification) -based document management system, the company said Tuesday in a statement."
1,World,8 Terror Suspects Appear in British Court,"LONDON - Eight men accused of plotting to commit murder and cause mayhem with radioactive materials, toxic gases, chemicals or explosives appeared in court Wednesday in a case linked to a U.S. terror alert this month..."
2,Sports,Greek Sprinters Withdraw From Olympics,"ATHENS, Greece Aug. 18, 2004  Greek sprinters Kostas Kenteris and Katerina Thanou pulled out of the Athens Games on Wednesday, nearly a week after they missed a drug test and were later hospitalized following a suspicious motorcycle crash. "
1,World,Five killed in Kashmir violence,Separatist militants kill four members of a Muslim family while police shoot dead a senior militant leader in Kashmir.
3,Business,Supply worries push oil to record,"Oil prices have continued their record-breaking run on Wednesday, busting through the \$47-mark amid concerns that demand will outstrip supply. "
4,Sci/Tech,Web Site Shows New York Drug Prices,"New York Attorney General Eliot Spitzer, who has sued many big-name drug makers for bilking the government with their drug prices, on Tuesday unveiled a Web site that allows consumers to compare prices at pharmacies in the state."
2,Sports,Canadian tutu man gets five months for Olympic plunge,A tutu-clad Canadian who jumped into the Olympic diving pool after a competition was convicted Wednesday of interrupting the games and sentenced to five months in jail. He was released pending an appeal. 
3,Business,Web giant Google cuts IPO prices,"GOOGLE, the web search engine, has slashed the price range on its eagerly awaited initial public offering to between 47 and 52 per share from 59 to 74 per share. "
2,Sports,Sportsview: Bills Get Playoff Hunger (AP),AP - Pat Williams is a big man with a big heart and appetite. So imagine his dilemma when the Buffalo Bills were back to their bumbling selves at the start of this season.
3,Business,SEC Bars Some Mutual Fund Fees, WASHINGTON (Reuters) - The U.S. Securities and Exchange  Commission barred U.S. mutual funds on Wednesday from  channeling brokerage commissions toward Wall Street firms based  on their promotion of the funds' shares.
4,Sci/Tech,Boy Escapes Cougar Near Canada's Jasper Park (Reuters),Reuters - Canadian wildlife\officials warned visitors to Jasper National Park on Tuesday to\be on the alert for cougars after one the animals attacked a\five-year-old boy.
1,World,"Cheney, Rumsfeld Say Terror Remains Threat","Two of the Bush administration #39;s chief architects of the war on terror offered words of caution along with congratulations on Tuesday, a historic day for this one-time al-Qaida haven."
4,Sci/Tech,Preview of SQL Server 2005 Released,"December 7, 2004 -- (WEB HOST INDUSTRY REVIEW) -- According to a report by internetnews.com, Microsoft (microsoft.com) has released the second community technology preview for SQL Server 2005."
3,Business,Europe troubled by euro rise,"European officials issued their harshest condemnation yet of the euro #39;s recent surge, in a joint statement after a monthly meeting yesterday."
