ORDERNUMBER	SALES	MONTH_ID	YEAR_ID	PRODUCTLINE	COUNTRY
10357	5960.36	12	2004	Trucks and Buses	USA
10370	8470.14	1	2005	Trucks and Buses	Australia
10381	2952	2	2005	Trucks and Buses	USA
10391	2464.8	3	2005	Trucks and Buses	Australia
10411	6232	5	2005	Trucks and Buses	Canada
10424	7969.36	5	2005	Trucks and Buses	Spain
10107	3036.6	2	2003	Motorcycles	USA
10121	8284	5	2003	Motorcycles	France
10134	2711.2	7	2003	Motorcycles	France
10145	8339.8	8	2003	Motorcycles	USA
10159	6238.84	10	2003	Motorcycles	USA
10169	4639.25	11	2003	Motorcycles	Australia
10180	6747.6	11	2003	Motorcycles	France
10189	4512.48	11	2003	Motorcycles	USA
10201	4029	12	2003	Motorcycles	USA
10211	4771.8	1	2004	Motorcycles	France
10224	6087.94	2	2004	Motorcycles	France
10237	4193.28	4	2004	Motorcycles	USA
10251	7552.28	5	2004	Motorcycles	USA
10263	6434.4	6	2004	Motorcycles	USA
10276	5181.5	8	2004	Motorcycles	USA
10285	6863.92	8	2004	Motorcycles	USA
10299	4157.04	9	2004	Motorcycles	Finland
10309	4660.24	10	2004	Motorcycles	Norway
10319	4111.8	11	2004	Motorcycles	USA
10329	3542.64	11	2004	Motorcycles	USA
10341	8118.55	11	2004	Motorcycles	Austria
10362	3877.06	1	2005	Motorcycles	USA
10375	3867.08	2	2005	Motorcycles	France
10388	5951.44	3	2005	Motorcycles	USA
10403	8648.64	4	2005	Motorcycles	UK
10417	3447.78	5	2005	Motorcycles	Spain
10104	5958.5	1	2003	Classic Cars	Spain
10117	5911.64	4	2003	Classic Cars	Singapore
10127	7366.44	6	2003	Classic Cars	USA
10142	4985.64	8	2003	Classic Cars	USA
10153	5393.64	9	2003	Classic Cars	Spain
10165	4880.02	10	2003	Classic Cars	Singapore
10176	8378.69	11	2003	Classic Cars	Italy
10185	4038.21	11	2003	Classic Cars	USA
10196	3807.12	11	2003	Classic Cars	USA
10208	3142.36	1	2004	Classic Cars	France
10220	4713.6	2	2004	Classic Cars	Ireland
10230	7016.31	3	2004	Classic Cars	Germany
10247	4381.25	5	2004	Classic Cars	Finland
10272	4283.01	7	2004	Classic Cars	USA
10282	4364.82	8	2004	Classic Cars	USA
10293	4242.24	9	2004	Classic Cars	Italy
10306	4982.7	10	2004	Classic Cars	UK
10314	6393.54	10	2004	Classic Cars	Denmark
10324	1466.91	11	2004	Classic Cars	USA
10336	4059.33	11	2004	Classic Cars	France
10348	4801.52	11	2004	Classic Cars	Spain
10358	2711.66	12	2004	Classic Cars	Spain
10372	5862	1	2005	Classic Cars	Japan
10382	4071.85	2	2005	Classic Cars	USA
10413	8236.75	5	2005	Classic Cars	USA
10108	6130.35	3	2003	Classic Cars	Philippines
10122	3693.34	5	2003	Classic Cars	France
10135	6031.68	7	2003	Classic Cars	USA
10147	3494.94	9	2003	Classic Cars	USA
10160	5294.14	10	2003	Classic Cars	USA
10170	5464.69	11	2003	Classic Cars	Austria
10181	2860.76	11	2003	Classic Cars	Norway
10191	5590	11	2003	Classic Cars	Germany
10203	2254.8	12	2003	Classic Cars	Spain
10212	4946.76	1	2004	Classic Cars	Spain
10225	2495.5	2	2004	Classic Cars	Switzerland
10238	3167.38	4	2004	Classic Cars	Denmark
10253	2402.84	6	2004	Classic Cars	UK
10266	2454.54	7	2004	Classic Cars	Italy
10276	5464.69	8	2004	Classic Cars	USA
10287	4756.5	8	2004	Classic Cars	Switzerland
10300	3984.6	10	2003	Classic Cars	Germany
10310	3100.32	10	2004	Classic Cars	Germany
10320	4850.3	11	2004	Classic Cars	Sweden
10329	3846.98	11	2004	Classic Cars	USA
10341	4220.92	11	2004	Classic Cars	Austria
10363	3288.82	1	2005	Classic Cars	Finland
10376	3987.2	2	2005	Classic Cars	USA
10389	1809.5	3	2005	Classic Cars	Sweden
10419	1092.2	5	2005	Classic Cars	Austria
10105	4566.05	2	2003	Classic Cars	Denmark
10117	5938.14	4	2003	Classic Cars	Singapore
10127	8138.76	6	2003	Classic Cars	USA
10142	9470.94	8	2003	Classic Cars	USA
10153	7036.89	9	2003	Classic Cars	Spain
10165	5559.03	10	2003	Classic Cars	Singapore
10176	7872.5	11	2003	Classic Cars	Italy
10185	7886.2	11	2003	Classic Cars	USA
10196	7232.16	11	2003	Classic Cars	USA
10208	3114.4	1	2004	Classic Cars	France
10220	5045.22	2	2004	Classic Cars	Ireland
10231	6952.12	3	2004	Classic Cars	Spain
10247	4157.73	5	2004	Classic Cars	Finland
10272	7962.24	7	2004	Classic Cars	USA
10282	3778.8	8	2004	Classic Cars	USA
10293	8253	9	2004	Classic Cars	Italy
10306	3633.4	10	2004	Classic Cars	UK
10314	6913.8	10	2004	Classic Cars	Denmark
10325	2583.6	11	2004	Classic Cars	Norway
10336	3105.62	11	2004	Classic Cars	France
10349	4408.56	12	2004	Classic Cars	USA
10359	3042.41	12	2004	Classic Cars	France
10372	5941.5	1	2005	Classic Cars	Japan
10382	3241.9	2	2005	Classic Cars	USA
10396	6109.29	3	2005	Classic Cars	USA
10413	3387.78	5	2005	Classic Cars	USA
10108	3485.82	3	2003	Classic Cars	Philippines
10122	2042.88	5	2003	Classic Cars	France
10135	1800.24	7	2003	Classic Cars	USA
10147	1340.64	9	2003	Classic Cars	USA
10159	1762.08	10	2003	Classic Cars	USA
10169	2298.24	11	2003	Classic Cars	Australia
10181	1628	11	2003	Classic Cars	Norway
10191	1939.2	11	2003	Classic Cars	Germany
10203	3651.56	12	2003	Classic Cars	Spain
10211	2591.96	1	2004	Classic Cars	France
10225	2864.17	2	2004	Classic Cars	Switzerland
10238	1484.2	4	2004	Classic Cars	Denmark
10253	2254.25	6	2004	Classic Cars	UK
10266	2681.35	7	2004	Classic Cars	Italy
10276	3184.02	8	2004	Classic Cars	USA
10287	2846.63	8	2004	Classic Cars	Switzerland
10300	1685.42	10	2003	Classic Cars	Germany
10310	3988.6	10	2004	Classic Cars	Germany
10320	2789.96	11	2004	Classic Cars	Sweden
10329	3607.56	11	2004	Classic Cars	USA
10341	3368.16	11	2004	Classic Cars	Austria
10363	2775.08	1	2005	Classic Cars	Finland
10377	1627.92	2	2005	Classic Cars	Finland
10389	2529.36	3	2005	Classic Cars	Sweden
10419	3065.78	5	2005	Classic Cars	Austria
10104	4615.78	1	2003	Trucks and Buses	Spain
10115	5723.78	4	2003	Trucks and Buses	USA
10127	2559.6	6	2003	Trucks and Buses	USA
10141	2140.11	8	2003	Trucks and Buses	Finland
10151	3327.6	9	2003	Trucks and Buses	Finland
10165	6825.6	10	2003	Trucks and Buses	Singapore
10175	3543.28	11	2003	Trucks and Buses	UK
10184	4516.22	11	2003	Trucks and Buses	Spain
10195	6445.46	11	2003	Trucks and Buses	USA
10207	3384.36	12	2003	Trucks and Buses	USA
10219	4891.68	2	2004	Trucks and Buses	USA
10229	4521.96	3	2004	Trucks and Buses	USA
10246	5069.66	5	2004	Trucks and Buses	Spain
10259	6541.2	6	2004	Trucks and Buses	Singapore
10271	3012.27	7	2004	Trucks and Buses	USA
10281	5247.18	8	2004	Trucks and Buses	USA
10292	2214.87	9	2004	Trucks and Buses	USA
10305	4773.18	10	2004	Trucks and Buses	USA
10314	6185.7	10	2004	Trucks and Buses	Denmark
10324	1517.88	11	2004	Trucks and Buses	USA
10336	6372.6	11	2004	Trucks and Buses	France
10349	5232.96	12	2004	Trucks and Buses	USA
10358	2694.72	12	2004	Trucks and Buses	Spain
10371	1749.79	1	2005	Trucks and Buses	USA
10382	2130.56	2	2005	Trucks and Buses	USA
10412	5951.34	5	2005	Trucks and Buses	Spain
10425	4692.6	5	2005	Trucks and Buses	France
10108	3731.04	3	2003	Classic Cars	Philippines
10122	2142	5	2003	Classic Cars	France
10135	2838.81	7	2003	Classic Cars	USA
10147	3230.37	9	2003	Classic Cars	USA
10160	5182	10	2003	Classic Cars	USA
10170	4391.1	11	2003	Classic Cars	Austria
10181	4477.32	11	2003	Classic Cars	Norway
10192	3544.56	11	2003	Classic Cars	USA
10203	5195.85	12	2003	Classic Cars	Spain
10212	4180.44	1	2004	Classic Cars	Spain
10225	2684.43	2	2004	Classic Cars	Switzerland
10239	1958.88	4	2004	Classic Cars	Finland
10253	4910.57	6	2004	Classic Cars	UK
10266	4468.4	7	2004	Classic Cars	Italy
10277	3127.88	8	2004	Classic Cars	Singapore
10287	2675.13	8	2004	Classic Cars	Switzerland
10300	2807.61	10	2003	Classic Cars	Germany
10310	2504.75	10	2004	Classic Cars	Germany
10321	2984.88	11	2004	Classic Cars	USA
10329	2524.86	11	2004	Classic Cars	USA
10341	4136	11	2004	Classic Cars	Austria
10363	4068.7	1	2005	Classic Cars	Finland
10377	5182	2	2005	Classic Cars	Finland
10389	5243.79	3	2005	Classic Cars	Sweden
10405	9048.16	4	2005	Classic Cars	France
10419	3832.64	5	2005	Classic Cars	Austria
10103	3920	1	2003	Trucks and Buses	Norway
10113	4916.66	3	2003	Trucks and Buses	USA
10126	3857	5	2003	Trucks and Buses	Spain
10140	4181.44	7	2003	Trucks and Buses	USA
10150	4641	9	2003	Trucks and Buses	Singapore
10164	3570.12	10	2003	Trucks and Buses	Austria
10174	4480.32	11	2003	Trucks and Buses	Australia
10183	2033.64	11	2003	Trucks and Buses	USA
10194	1960.14	11	2003	Trucks and Buses	France
10206	3966.78	12	2003	Trucks and Buses	Canada
10215	5152	1	2004	Trucks and Buses	USA
10228	3360	3	2004	Trucks and Buses	USA
10245	3451	5	2004	Trucks and Buses	USA
10258	5453	6	2004	Trucks and Buses	Japan
10270	4164.12	7	2004	Trucks and Buses	Australia
10280	2800.08	8	2004	Trucks and Buses	Italy
10291	4687.94	9	2004	Trucks and Buses	Sweden
10304	4508	10	2004	Trucks and Buses	France
10312	4181.44	10	2004	Trucks and Buses	USA
10322	2251.04	11	2004	Trucks and Buses	USA
10333	1167.25	11	2004	Trucks and Buses	USA
10347	2083.2	11	2004	Trucks and Buses	Australia
10357	3822	12	2004	Trucks and Buses	USA
10370	3911.49	1	2005	Trucks and Buses	Australia
10381	4704	2	2005	Trucks and Buses	USA
10391	2467.9	3	2005	Trucks and Buses	Australia
10411	3213	5	2005	Trucks and Buses	Canada
10424	7182	5	2005	Trucks and Buses	Spain
10109	4379.18	3	2003	Classic Cars	USA
10122	5004.8	5	2003	Classic Cars	France
10136	3644.75	7	2003	Classic Cars	France
10148	2702.04	9	2003	Classic Cars	Australia
10161	3764.88	10	2003	Classic Cars	Denmark
10171	4508	11	2003	Classic Cars	Canada
10181	5418.16	11	2003	Classic Cars	Norway
10192	3300.66	11	2003	Classic Cars	USA
10204	6182.4	12	2003	Classic Cars	USA
10212	4186.73	1	2004	Classic Cars	Spain
10225	4529.28	2	2004	Classic Cars	Switzerland
10240	5628.89	4	2004	Classic Cars	Japan
10253	3054.48	6	2004	Classic Cars	UK
10266	2526.51	7	2004	Classic Cars	Italy
10278	4667.86	8	2004	Classic Cars	USA
10287	6499.32	8	2004	Classic Cars	Switzerland
10301	5917.78	10	2003	Classic Cars	Norway
10310	6231.91	10	2004	Classic Cars	Germany
10321	5803.14	11	2004	Classic Cars	USA
10331	6434.02	11	2004	Classic Cars	USA
10342	6454.4	11	2004	Classic Cars	Australia
10356	4196.8	12	2004	Classic Cars	France
10365	2611.8	1	2005	Classic Cars	USA
10377	5895.05	2	2005	Classic Cars	Finland
10390	3375.72	3	2005	Classic Cars	USA
10406	8374.69	4	2005	Classic Cars	Denmark
10419	4464.24	5	2005	Classic Cars	Austria
10102	4808.31	1	2003	Vintage Cars	USA
10111	3288.78	3	2003	Vintage Cars	USA
10125	3254.72	5	2003	Vintage Cars	Australia
10139	3184.94	7	2003	Vintage Cars	Australia
10149	5907.5	9	2003	Vintage Cars	USA
10162	4389.12	10	2003	Vintage Cars	USA
10173	5036.16	11	2003	Vintage Cars	Italy
10182	2183.25	11	2003	Vintage Cars	USA
10193	3106.88	11	2003	Vintage Cars	Australia
10205	3735.72	12	2003	Vintage Cars	Spain
10215	2413.26	1	2004	Vintage Cars	USA
10227	2953.75	3	2004	Vintage Cars	France
10244	4684.8	4	2004	Vintage Cars	Spain
10256	3248.7	6	2004	Vintage Cars	Denmark
10280	5239.5	8	2004	Vintage Cars	Italy
10289	4567.98	9	2004	Vintage Cars	Norway
10304	3535.35	10	2004	Vintage Cars	France
10312	3843.34	10	2004	Vintage Cars	USA
10322	3710.9	11	2004	Vintage Cars	USA
10332	4375.98	11	2004	Vintage Cars	UK
10346	1516.62	11	2004	Vintage Cars	USA
10356	2509	12	2004	Vintage Cars	France
10369	9240.44	1	2005	Vintage Cars	USA
10380	2515.32	2	2005	Vintage Cars	Spain
10391	5548.9	3	2005	Vintage Cars	Australia
10422	4873.05	5	2005	Vintage Cars	USA
10102	2055.74	1	2003	Vintage Cars	USA
10111	2354.88	3	2003	Vintage Cars	USA
10126	2309.58	5	2003	Vintage Cars	Spain
10139	2113.37	7	2003	Vintage Cars	Australia
10149	1746.6	9	2003	Vintage Cars	USA
10162	2304.45	10	2003	Vintage Cars	USA
10173	2122.08	11	2003	Vintage Cars	Italy
10182	1742.4	11	2003	Vintage Cars	USA
10193	2455.02	11	2003	Vintage Cars	Australia
10205	3053.28	12	2003	Vintage Cars	Spain
10215	1423.29	1	2004	Vintage Cars	USA
10227	1504.12	3	2004	Vintage Cars	France
10244	1164.4	4	2004	Vintage Cars	Spain
10256	1500.75	6	2004	Vintage Cars	Denmark
10280	1557.36	8	2004	Vintage Cars	Italy
10289	1345.68	9	2004	Vintage Cars	Norway
10304	1795.24	10	2004	Vintage Cars	France
10312	1105.25	10	2004	Vintage Cars	USA
10322	2364.88	11	2004	Vintage Cars	USA
10332	2427.03	11	2004	Vintage Cars	UK
10347	1237.95	11	2004	Vintage Cars	Australia
10356	1593.02	12	2004	Vintage Cars	France
10369	3156.16	1	2005	Vintage Cars	USA
10381	1320.75	2	2005	Vintage Cars	USA
10391	4998	3	2005	Vintage Cars	Australia
10422	1293.75	5	2005	Vintage Cars	USA
10110	5433.08	3	2003	Classic Cars	UK
10123	3073.72	5	2003	Classic Cars	France
10137	4380.2	7	2003	Classic Cars	France
10148	5848.68	9	2003	Classic Cars	Australia
10161	6153.73	10	2003	Classic Cars	Denmark
10172	4965.24	11	2003	Classic Cars	USA
10181	5435.64	11	2003	Classic Cars	Norway
10192	4258.36	11	2003	Classic Cars	USA
10204	4032	12	2003	Classic Cars	USA
10212	4492.36	1	2004	Classic Cars	Spain
10226	4161.38	2	2004	Classic Cars	USA
10241	2508.66	4	2004	Classic Cars	France
10253	3374.88	6	2004	Classic Cars	UK
10266	5196.6	7	2004	Classic Cars	Italy
10278	2604.52	8	2004	Classic Cars	USA
10288	2936.8	9	2004	Classic Cars	Singapore
10301	3424.64	10	2003	Classic Cars	Norway
10311	2923.2	10	2004	Classic Cars	Spain
10321	4489.76	11	2004	Classic Cars	USA
10331	4849.24	11	2004	Classic Cars	USA
10343	5848.92	11	2004	Classic Cars	France
10367	2758.7	1	2005	Classic Cars	USA
10378	1449.76	2	2005	Classic Cars	Spain
10407	7048.14	4	2005	Classic Cars	USA
10419	5202.94	5	2005	Classic Cars	Austria
10106	5279.4	2	2003	Planes	Italy
10119	6916.12	4	2003	Planes	Austria
10131	2781.66	6	2003	Planes	USA
10143	5248	8	2003	Planes	USA
10155	6531.44	10	2003	Planes	Finland
10167	5763.72	10	2003	Planes	Sweden
10178	6490.68	11	2003	Planes	France
10186	6004.8	11	2003	Planes	UK
10198	7483.98	11	2003	Planes	Philippines
10210	5719.5	1	2004	Planes	Japan
10222	6954.08	2	2004	Planes	USA
10250	8160.3	5	2004	Planes	USA
10262	6567.96	6	2004	Planes	Spain
10274	6724	7	2004	Planes	USA
10284	5747.85	8	2004	Planes	Norway
10296	5676.84	9	2004	Planes	Germany
10307	7379.97	10	2004	Planes	USA
10316	3704.13	11	2004	Planes	UK
10327	2804.75	11	2004	Planes	Denmark
10338	5624.79	11	2004	Planes	Belgium
10351	3881.28	12	2004	Planes	UK
10373	1611.4	1	2005	Planes	Finland
10386	1364.25	3	2005	Planes	Spain
10398	4215.09	3	2005	Planes	France
10400	6433.82	4	2005	Planes	USA
10416	4352.16	5	2005	Planes	Italy
10100	5151	1	2003	Vintage Cars	USA
10110	6069	3	2003	Vintage Cars	UK
10124	2856	5	2003	Vintage Cars	USA
10149	5375.4	9	2003	Vintage Cars	USA
10162	5176.5	10	2003	Vintage Cars	USA
10173	3508.8	11	2003	Vintage Cars	Italy
10182	7554.8	11	2003	Vintage Cars	USA
10193	3141.6	11	2003	Vintage Cars	Australia
10204	5890.5	12	2003	Vintage Cars	USA
10214	5967	1	2004	Vintage Cars	Spain
10227	3712.8	3	2004	Vintage Cars	France
10241	7597.3	4	2004	Vintage Cars	France
