gender;age;education_level;institution_type;IT_student;location;electricity_supply;financial_condition;internet_type;network_type;class_duration;learning_system;device;adaptivity_level;ID_student
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UN32
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;CN33
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN34
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Mobile;Moderate;UN35
Girl;21-25;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG36
Girl;06-oct;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;High;SN37
Girl;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG38
Girl;nov-15;School;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;No;Mobile;Low;SG39
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN40
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN41
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN42
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN43
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Low;UN44
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;UN45
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN46
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN47
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN48
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Low;UN49
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG50
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN51
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN52
Boy;26-30;University;Government;Yes;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;UG53
Boy;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;SN54
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN55
Boy;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG56
Girl;16-20;University;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;UN57
Girl;nov-15;School;Non Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SN58
Boy;16-20;School;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SG59
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;UN60
Boy;21-25;College;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG61
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;CN62
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN63
Boy;nov-15;School;Non Government;No;Yes;High;Poor;Wifi;4G;01-mar;No;Mobile;Low;SN64
Boy;26-30;University;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;High;UG65
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN66
Girl;06-oct;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG67
Girl;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SG68
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN69
Boy;21-25;College;Government;No;No;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Low;CG70
Girl;16-20;College;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG71
Boy;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG72
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN73
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN74
Girl;06-oct;School;Non Government;No;Yes;Low;Mid;Mobile Data;2G;01-mar;No;Mobile;Low;SN75
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;CN76
Girl;21-25;College;Government;No;No;High;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG77
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;03-jun;No;Mobile;Moderate;SN78
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN79
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN80
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;03-jun;No;Mobile;Moderate;SN81
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;UN82
Girl;nov-15;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG83
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN84
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN85
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;High;SN86
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN87
Boy;nov-15;School;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN88
Boy;26-30;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;UG89
Boy;21-25;University;Non Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UN90
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN91
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Moderate;UN92
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Low;UN93
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN94
Girl;16-20;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;UN95
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN96
Girl;nov-15;School;Government;No;No;High;Poor;Mobile Data;2G;01-mar;No;Mobile;Low;SG97
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN98
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG99
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN100
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;SN101
Girl;16-20;College;Non Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CN102
Boy;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN103
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Wifi;4G;01-mar;No;Mobile;Moderate;SN104
Boy;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;SG105
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN106
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;SN107
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN108
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;High;UN109
Boy;06-oct;School;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;SG110
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN111
Boy;nov-15;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG112
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN113
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CN114
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN115
Boy;26-30;University;Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Low;UG116
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Wifi;4G;03-jun;Yes;Computer;Low;UN117
Boy;16-20;College;Government;No;No;High;Poor;Mobile Data;3G;01-mar;No;Mobile;Moderate;CG118
Girl;21-25;University;Non Government;Yes;No;Low;Mid;Mobile Data;3G;01-mar;Yes;Mobile;Moderate;UN119
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Computer;Moderate;CN120
Girl;16-20;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN121
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN122
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN123
Girl;16-20;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Computer;Moderate;UN124
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN125
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG126
Boy;16-20;College;Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Mobile;Moderate;CG127
Girl;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SG128
Boy;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;Yes;Computer;High;UN129
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Mobile;Moderate;UN130
Boy;21-25;University;Government;Yes;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;UG131
Boy;21-25;University;Non Government;Yes;No;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;High;UN132
Boy;16-20;College;Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;CG133
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN134
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Low;UG135
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN136
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;UN137
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN138
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN139
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN140
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN141
Girl;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN142
Girl;16-20;College;Non Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;CN143
Boy;21-25;University;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;UG144
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Moderate;UN145
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;3G;03-jun;No;Computer;Moderate;UN146
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN147
Girl;21-25;University;Non Government;No;Yes;High;Poor;Wifi;4G;03-jun;No;Mobile;Low;UN148
Girl;21-25;University;Government;No;No;Low;Mid;Mobile Data;2G;01-mar;No;Mobile;Low;UG149
Girl;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN150
Boy;16-20;College;Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CG151
Boy;nov-15;School;Non Government;No;Yes;Low;Rich;Mobile Data;4G;01-mar;No;Mobile;High;SN152
Boy;06-oct;School;Non Government;No;Yes;Low;Rich;Wifi;4G;01-mar;No;Mobile;Moderate;SN153
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Low;UN154
Boy;21-25;University;Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Computer;Low;UG155
Boy;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;SN156
Boy;26-30;University;Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;No;Computer;High;UG157
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN158
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;01-mar;Yes;Computer;Moderate;UN159
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Low;UN160
Boy;21-25;University;Non Government;Yes;No;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;High;UN161
Boy;16-20;University;Government;No;No;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;UG162
Boy;06-oct;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG163
Girl;16-20;College;Government;No;No;High;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;CG164
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN165
Boy;21-25;College;Government;No;No;High;Poor;Mobile Data;3G;01-mar;Yes;Mobile;Low;CG166
Boy;26-30;University;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;High;UG167
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN168
Boy;16-20;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Low;CG169
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Computer;Moderate;UN170
Girl;26-30;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG171
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN172
Boy;21-25;University;Non Government;Yes;Yes;Low;Rich;Wifi;4G;01-mar;Yes;Computer;High;UN173
Boy;nov-15;School;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SG174
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Low;UN175
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Wifi;3G;01-mar;No;Mobile;Moderate;SN176
Boy;16-20;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;Yes;Mobile;Low;CG177
Girl;16-20;University;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;UN178
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN179
Boy;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Computer;Moderate;SG180
Boy;01-may;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN181
Girl;01-may;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Moderate;SN182
Girl;21-25;University;Non Government;No;Yes;Low;Rich;Wifi;4G;03-jun;No;Computer;Moderate;UN183
Girl;16-20;College;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;CN184
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN185
Girl;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN186
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG187
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN188
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Tab;Moderate;UN189
Boy;nov-15;School;Non Government;No;Yes;High;Poor;Wifi;4G;01-mar;No;Mobile;Low;SN190
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN191
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN192
Boy;16-20;School;Government;No;No;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SG193
Girl;16-20;College;Government;No;No;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;CG194
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;01-mar;Yes;Mobile;Low;UN195
Boy;16-20;College;Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;CG196
Boy;nov-15;School;Non Government;Yes;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN197
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN198
Girl;nov-15;School;Government;No;Yes;Low;Mid;Wifi;3G;01-mar;No;Mobile;Low;SG199
Boy;06-oct;School;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;SG200
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN201
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN202
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN203
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN204
Boy;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;High;SG205
Boy;26-30;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Moderate;UN206
Boy;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN207
Girl;26-30;University;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UG208
Girl;21-25;University;Non Government;Yes;Yes;High;Mid;Wifi;3G;03-jun;Yes;Mobile;Low;UN209
Girl;nov-15;School;Government;No;No;High;Poor;Mobile Data;2G;01-mar;No;Mobile;Low;SG210
Girl;16-20;School;Government;No;No;Low;Rich;Mobile Data;4G;01-mar;No;Mobile;High;SG211
Girl;16-20;College;Government;No;No;High;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;CG212
Girl;16-20;College;Non Government;No;Yes;High;Mid;Wifi;4G;03-jun;No;Computer;Moderate;CN213
Girl;21-25;College;Government;Yes;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;CG214
Boy;16-20;School;Government;No;Yes;Low;Rich;Mobile Data;4G;01-mar;No;Mobile;Moderate;SG215
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN216
Girl;16-20;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Low;SN217
Boy;21-25;University;Non Government;Yes;Yes;High;Poor;Wifi;3G;03-jun;No;Mobile;Low;UN218
Boy;nov-15;School;Government;No;No;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Low;SG219
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;3G;03-jun;Yes;Computer;Moderate;UN220
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;03-jun;No;Mobile;Moderate;SN221
Girl;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN222
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN223
Girl;21-25;University;Non Government;No;No;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN224
Girl;nov-15;School;Non Government;Yes;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN225
Boy;21-25;University;Non Government;Yes;Yes;High;Mid;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN226
Boy;01-may;School;Non Government;No;Yes;Low;Poor;Mobile Data;4G;01-mar;No;Mobile;Low;SN227
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN228
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Mobile Data;3G;01-mar;No;Mobile;Moderate;SN229
Girl;nov-15;School;Non Government;No;Yes;Low;Poor;Wifi;3G;01-mar;No;Mobile;Moderate;SN230
Girl;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;Yes;Mobile;Moderate;UN231
Girl;16-20;School;Non Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;SN232
Boy;nov-15;School;Government;No;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;High;SG233
Boy;21-25;University;Non Government;Yes;No;Low;Mid;Wifi;4G;03-jun;Yes;Computer;Moderate;UN234
Boy;21-25;University;Non Government;Yes;No;High;Poor;Mobile Data;3G;03-jun;Yes;Mobile;Moderate;UN235
Boy;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;4G;03-jun;No;Computer;Moderate;UN236
Girl;26-30;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG237
Girl;21-25;University;Non Government;No;Yes;Low;Mid;Wifi;2G;03-jun;No;Mobile;Moderate;UN238
Boy;21-25;University;Non Government;Yes;Yes;Low;Mid;Wifi;4G;01-mar;No;Mobile;Low;UN239
Girl;21-25;University;Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Low;UG240
Boy;nov-15;School;Non Government;No;Yes;Low;Mid;Mobile Data;4G;01-mar;No;Mobile;Moderate;SN241
